Unnamed: 0,Viaje_Id,Usuario_Id,Genero,Año_de_nacimiento,Inicio_del_viaje,Fin_del_viaje,Origen_Id,Destino_Id,Edad,Duración,date_extraction
0,32244893,1470734,M,1981,2024-01-31 23:59:33,2024-02-01 00:11:15,24,86,43,0 days 00:11:42,2024-05-10 18:12:03.185196
1,32244892,2731702,M,1994,2024-01-31 23:59:06,2024-02-01 00:10:49,48,279,30,0 days 00:11:43,2024-05-10 18:12:03.185196
2,32244891,1431452,M,2001,2024-01-31 23:58:48,2024-02-01 00:01:42,273,383,23,0 days 00:02:54,2024-05-10 18:12:03.185196
3,32244890,2312602,F,2003,2024-01-31 23:58:44,2024-02-01 00:01:58,273,383,21,0 days 00:03:14,2024-05-10 18:12:03.185196
4,32244889,2266427,M,1999,2024-01-31 23:58:44,2024-02-01 00:01:39,273,383,25,0 days 00:02:55,2024-05-10 18:12:03.185196
5,32244888,1071506,M,1964,2024-01-31 23:58:43,2024-02-01 00:23:45,79,60,60,0 days 00:25:02,2024-05-10 18:12:03.185196
6,32244887,423423,M,1990,2024-01-31 23:58:39,2024-02-01 00:13:57,160,354,34,0 days 00:15:18,2024-05-10 18:12:03.185196
7,32244886,2703032,M,1970,2024-01-31 23:58:39,2024-02-01 00:24:03,78,289,54,0 days 00:25:24,2024-05-10 18:12:03.185196
8,32244884,452007,M,1988,2024-01-31 23:58:00,2024-02-01 00:03:35,193,68,36,0 days 00:05:35,2024-05-10 18:12:03.185196
9,32244881,11124,M,1991,2024-01-31 23:57:28,2024-02-01 00:12:54,82,281,33,0 days 00:15:26,2024-05-10 18:12:03.185196
10,32244880,122177,M,1984,2024-01-31 23:57:06,2024-02-01 00:07:48,82,271,40,0 days 00:10:42,2024-05-10 18:12:03.185196
11,32244879,2316567,F,1982,2024-01-31 23:56:11,2024-02-01 00:01:43,143,232,42,0 days 00:05:32,2024-05-10 18:12:03.185196
12,32244878,2513175,F,1999,2024-01-31 23:55:32,2024-02-01 00:01:41,179,164,25,0 days 00:06:09,2024-05-10 18:12:03.185196
13,32244877,660765,M,1994,2024-01-31 23:55:32,2024-02-01 00:03:56,179,82,30,0 days 00:08:24,2024-05-10 18:12:03.185196
14,32244876,167712,M,1990,2024-01-31 23:55:16,2024-01-31 23:57:32,251,152,34,0 days 00:02:16,2024-05-10 18:12:03.185196
15,32244875,2405546,M,1972,2024-01-31 23:55:16,2024-02-01 00:06:11,38,200,52,0 days 00:10:55,2024-05-10 18:12:03.185196
16,32244874,2322444,F,2003,2024-01-31 23:54:53,2024-02-01 00:00:56,49,46,21,0 days 00:06:03,2024-05-10 18:12:03.185196
17,32244873,225217,F,1989,2024-01-31 23:54:44,2024-01-31 23:57:29,251,152,35,0 days 00:02:45,2024-05-10 18:12:03.185196
18,32244872,452007,M,1988,2024-01-31 23:54:25,2024-01-31 23:56:53,192,193,36,0 days 00:02:28,2024-05-10 18:12:03.185196
19,32244870,2707223,M,1990,2024-01-31 23:54:01,2024-02-01 00:09:13,188,364,34,0 days 00:15:12,2024-05-10 18:12:03.185196
