id,name,obcn,location,latitude,longitude,status,date_extraction
2,(GDL-001) C. Epigmenio Glez./ Av. 16 de Sept.,GDL-001,POLÍGONO CENTRAL,20.666378,-103.34882,IN_SERVICE,2024-05-10 18:12:03.188128
3,(GDL-002) C. Colonias  / Av.  Niños héroes,GDL-002,POLÍGONO CENTRAL,20.667228,-103.366,IN_SERVICE,2024-05-10 18:12:03.188128
4,(GDL-003) C. Vidrio / Av. Chapultepec,GDL-003,POLÍGONO CENTRAL,20.66769,-103.368252,IN_SERVICE,2024-05-10 18:12:03.188128
5,(GDL-004) C. Ghilardi /C. Miraflores,GDL-004,POLÍGONO CENTRAL,20.69175,-103.36255,IN_SERVICE,2024-05-10 18:12:03.188128
6,(GDL-005) C. San Diego /Calzada Independencia,GDL-005,POLÍGONO CENTRAL,20.6811575,-103.339363,IN_SERVICE,2024-05-10 18:12:03.188128
8,(GDL-006) C. Venustiano Carranza /C. Reforma,GDL-006,POLÍGONO CENTRAL,20.680717,-103.344415,IN_SERVICE,2024-05-10 18:12:03.188128
9,(GDL-007) C. Epigmenio Glez./Av. Cristobal C.,GDL-007,POLÍGONO CENTRAL,20.666771,-103.350562,IN_SERVICE,2024-05-10 18:12:03.188128
10,(GDL-008) C. J. Angulo / C. González Ortega,GDL-008,POLÍGONO CENTRAL,20.681871,-103.350396,IN_SERVICE,2024-05-10 18:12:03.188128
11,(GDL-009) Calz. Federalismo/ C. J. Angulo,GDL-009,POLÍGONO CENTRAL,20.682076846084616,-103.353835,IN_SERVICE,2024-05-10 18:12:03.188128
12,(GDL-010) C. Cruz verde / C. Joaquin Angulo,GDL-010,POLÍGONO CENTRAL,20.6818519,-103.3573381,IN_SERVICE,2024-05-10 18:12:03.188128
13,(GDL-011) C. Garibaldi / C. Frías,GDL-011,POLÍGONO CENTRAL,20.681081,-103.360099,IN_SERVICE,2024-05-10 18:12:03.188128
14,(GDL-012) C. Joaquín Angulo / C. Ghilardi,GDL-012,POLÍGONO CENTRAL,20.6820683,-103.3629218,IN_SERVICE,2024-05-10 18:12:03.188128
15,(GDL-013) C. Vidrio  / C. Marsella,GDL-013,POLÍGONO CENTRAL,20.667623,-103.370499,IN_SERVICE,2024-05-10 18:12:03.188128
16,(GDL-014) C. J. Angulo/C José Clemente Orozco,GDL-014,POLÍGONO CENTRAL,20.6821447,-103.3659297,IN_SERVICE,2024-05-10 18:12:03.188128
17,(GDL-015) C. Herrera y Cairo /C. Pedro Buzeta,GDL-015,POLÍGONO CENTRAL,20.683191,-103.369349,IN_SERVICE,2024-05-10 18:12:03.188128
18,(GDL-016) C. Bernardo de Balbuena/C J. Angulo,GDL-016,POLÍGONO CENTRAL,20.68246370174547,-103.3726232,IN_SERVICE,2024-05-10 18:12:03.188128
19,(GDL-017) Av. México /C. Bernardo de Balbuena,GDL-017,POLÍGONO CENTRAL,20.679086,-103.372841,IN_SERVICE,2024-05-10 18:12:03.188128
20,(GDL-018) Av. México / C. Manuel M. Diéguez,GDL-018,POLÍGONO CENTRAL,20.679296,-103.370658,IN_SERVICE,2024-05-10 18:12:03.188128
21,(GDL-019)  C. Juan Manuel / C. Andrés Terán,GDL-019,POLÍGONO CENTRAL,20.67881367004353,-103.3680584,IN_SERVICE,2024-05-10 18:12:03.188128
22,Ex-GDL-020 Juan Manuel / C.General Coronado,Ex-GDL-020,POLÍGONO CENTRAL,20.678714,-103.36573,NOT_IN_SERVICE,2024-05-10 18:12:03.188128
